datetime,anomaly,uncert
1850-01-01 00:00:00,-0.699,0.411
1850-02-01 00:00:00,-0.21,0.469
1850-03-01 00:00:00,-0.349,0.377
1850-04-01 00:00:00,-0.625,0.319
1850-05-01 00:00:00,-0.594,0.317
1850-06-01 00:00:00,-0.323,0.326
1850-07-01 00:00:00,-0.164,0.274
1850-08-01 00:00:00,-0.143,0.293
1850-09-01 00:00:00,-0.442,0.254
1850-10-01 00:00:00,-0.591,0.277
1850-11-01 00:00:00,-0.571,0.29
1850-12-01 00:00:00,-0.551,0.327
1851-01-01 00:00:00,-0.232,0.359
1851-02-01 00:00:00,-0.479,0.339
1851-03-01 00:00:00,-0.517,0.329
1851-04-01 00:00:00,-0.65,0.322
1851-05-01 00:00:00,-0.283,0.315
1851-06-01 00:00:00,-0.176,0.335
1851-07-01 00:00:00,-0.118,0.271
1851-08-01 00:00:00,-0.247,0.289
1851-09-01 00:00:00,-0.279,0.254
1851-10-01 00:00:00,-0.158,0.394
1851-11-01 00:00:00,-0.283,0.296
1851-12-01 00:00:00,-0.078,0.349
1852-01-01 00:00:00,-0.268,0.405
1852-02-01 00:00:00,-0.478,0.41
1852-03-01 00:00:00,-0.693,0.382
1852-04-01 00:00:00,-0.502,0.362
1852-05-01 00:00:00,-0.142,0.287
1852-06-01 00:00:00,-0.072,0.252
1852-07-01 00:00:00,0.01,0.224
1852-08-01 00:00:00,-0.334,0.232
1852-09-01 00:00:00,-0.311,0.232
1852-10-01 00:00:00,-0.211,0.229
1852-11-01 00:00:00,-0.511,0.27
1852-12-01 00:00:00,0.084,0.31
1853-01-01 00:00:00,-0.373,0.346
1853-02-01 00:00:00,-0.412,0.442
1853-03-01 00:00:00,-0.407,0.366
1853-04-01 00:00:00,-0.338,0.371
1853-05-01 00:00:00,-0.259,0.279
1853-06-01 00:00:00,-0.217,0.315
1853-07-01 00:00:00,0.029,0.223
1853-08-01 00:00:00,-0.092,0.243
1853-09-01 00:00:00,-0.381,0.21
1853-10-01 00:00:00,-0.536,0.253
1853-11-01 00:00:00,-0.617,0.322
1853-12-01 00:00:00,-0.381,0.263
1854-01-01 00:00:00,-0.537,0.374
1854-02-01 00:00:00,-0.593,0.346
1854-03-01 00:00:00,-0.328,0.336
1854-04-01 00:00:00,-0.369,0.261
1854-05-01 00:00:00,-0.276,0.255
1854-06-01 00:00:00,-0.39,0.201
